product_key,product_code,product_name,brand,subcategory,category,price,supplier
1,ELE-001,Laptops M001,Acme,Laptops,Electronics,220.9,Supplier A
2,ELE-019,Laptops M019,Vanta,Laptops,Electronics,694.96,Supplier D
3,ELE-018,Phones M018,Hooli,Phones,Electronics,624.02,Supplier C
4,ELE-002,Audio M002,Globex,Audio,Electronics,648.68,Supplier B
5,APP-003,Mens M003,Initech,Mens,Apparel,412.55,Supplier C
6,APP-004,Womens M004,Umbra,Womens,Apparel,686.54,Supplier D
7,APP-005,Kids M005,Stark,Kids,Apparel,260.92,Supplier E
8,HOM-006,Kitchen M006,Wayne,Kitchen,Home,105.46,Supplier F
9,HOM-007,Furniture M007,Soylent,Furniture,Home,319.4,Supplier G
10,HOM-008,Decor M008,Hooli,Decor,Home,421.59,Supplier H
11,SPO-009,Fitness M009,Vanta,Fitness,Sports,84.74,Supplier I
12,SPO-010,Outdoor M010,Lumen,Outdoor,Sports,798.62,Supplier J
13,SPO-011,Team M011,Acme,Team,Sports,76.56,Supplier K
14,BEA-012,Skincare M012,Globex,Skincare,Beauty,886.92,Supplier L
15,BEA-013,Makeup M013,Initech,Makeup,Beauty,351.41,Supplier M
16,BEA-014,Fragrance M014,Umbra,Fragrance,Beauty,158.95,Supplier N
17,IND-015,Tools M015,Stark,Tools,Industrial,636.11,Supplier O
18,IND-016,Safety M016,Wayne,Safety,Industrial,576.96,Supplier A
19,IND-017,Fasteners M017,Soylent,Fasteners,Industrial,424.1,Supplier B
20,ELE-020,Audio M020,Lumen,Audio,Electronics,727.47,Supplier E
21,APP-021,Mens M021,Acme,Mens,Apparel,823.13,Supplier F
22,APP-022,Womens M022,Globex,Womens,Apparel,203.17,Supplier G
23,APP-023,Kids M023,Initech,Kids,Apparel,583.92,Supplier H
24,HOM-024,Kitchen M024,Umbra,Kitchen,Home,674.32,Supplier I
25,HOM-025,Furniture M025,Stark,Furniture,Home,394.16,Supplier J
26,HOM-026,Decor M026,Wayne,Decor,Home,897.63,Supplier K
27,SPO-027,Fitness M027,Soylent,Fitness,Sports,683.87,Supplier L
28,SPO-028,Outdoor M028,Hooli,Outdoor,Sports,156.58,Supplier M
29,SPO-029,Team M029,Vanta,Team,Sports,355.52,Supplier N
30,BEA-030,Skincare M030,Lumen,Skincare,Beauty,237.5,Supplier O
31,BEA-031,Makeup M031,Acme,Makeup,Beauty,617.05,Supplier A
32,BEA-032,Fragrance M032,Globex,Fragrance,Beauty,679.53,Supplier B
33,IND-033,Tools M033,Initech,Tools,Industrial,274.75,Supplier C
34,IND-034,Safety M034,Umbra,Safety,Industrial,654.05,Supplier D
35,IND-035,Fasteners M035,Stark,Fasteners,Industrial,689.34,Supplier E
36,ELE-036,Phones M036,Wayne,Phones,Electronics,568.39,Supplier F
37,ELE-037,Laptops M037,Soylent,Laptops,Electronics,191.04,Supplier G
38,ELE-038,Audio M038,Hooli,Audio,Electronics,858.85,Supplier H
39,APP-039,Mens M039,Vanta,Mens,Apparel,545.07,Supplier I
40,APP-040,Womens M040,Lumen,Womens,Apparel,336.24,Supplier J
41,APP-041,Kids M041,Acme,Kids,Apparel,226.92,Supplier K
42,HOM-042,Kitchen M042,Globex,Kitchen,Home,84.7,Supplier L
43,HOM-043,Furniture M043,Initech,Furniture,Home,880.52,Supplier M
44,HOM-044,Decor M044,Umbra,Decor,Home,598.88,Supplier N
45,SPO-045,Fitness M045,Stark,Fitness,Sports,481.99,Supplier O
46,SPO-046,Outdoor M046,Wayne,Outdoor,Sports,837.09,Supplier A
47,SPO-047,Team M047,Soylent,Team,Sports,645.96,Supplier B
48,BEA-048,Skincare M048,Hooli,Skincare,Beauty,345.48,Supplier C
49,BEA-049,Makeup M049,Vanta,Makeup,Beauty,234.4,Supplier D
50,BEA-050,Fragrance M050,Lumen,Fragrance,Beauty,505.22,Supplier E
51,IND-051,Tools M051,Acme,Tools,Industrial,641.44,Supplier F
52,IND-052,Safety M052,Globex,Safety,Industrial,42.8,Supplier G
53,IND-053,Fasteners M053,Initech,Fasteners,Industrial,261.45,Supplier H
54,ELE-054,Phones M054,Umbra,Phones,Electronics,655.17,Supplier I
55,ELE-055,Laptops M055,Stark,Laptops,Electronics,230.05,Supplier J
56,ELE-056,Audio M056,Wayne,Audio,Electronics,98.48,Supplier K
57,APP-057,Mens M057,Soylent,Mens,Apparel,378.83,Supplier L
58,APP-058,Womens M058,Hooli,Womens,Apparel,593.31,Supplier M
59,APP-059,Kids M059,Vanta,Kids,Apparel,659.47,Supplier N
60,HOM-060,Kitchen M060,Lumen,Kitchen,Home,184.56,Supplier O
