campaign_key,date,impressions,clicks,spend
1,1/3/2025,68238,737,324.56
1,2/3/2025,28707,920,180.75
1,3/3/2025,64072,1288,287.27
1,4/3/2025,25290,1368,227.39
1,5/3/2025,43916,644,236.45
1,6/3/2025,18803,537,320.59
1,7/3/2025,29695,373,277.51
1,8/3/2025,99677,4760,247.11
1,9/3/2025,19953,901,180.81
1,10/3/2025,70496,979,272.57
1,11/3/2025,76084,3347,182.08
1,12/3/2025,99173,2695,199.32
1,13-03-2025,63353,2831,254.61
1,14-03-2025,38008,1108,293.8
1,15-03-2025,21425,324,237.56
1,16-03-2025,47223,796,300.41
1,17-03-2025,25451,1070,285.49
1,18-03-2025,16966,619,181.96
1,19-03-2025,93199,1696,235.02
1,20-03-2025,35925,1487,204.08
1,21-03-2025,61963,2528,249.14
1,22-03-2025,36474,522,196.2
1,23-03-2025,24142,953,240.11
1,24-03-2025,64280,1653,202.3
1,25-03-2025,44302,1870,219.07
1,26-03-2025,86774,3470,274.72
1,27-03-2025,98502,1117,311.8
1,28-03-2025,47537,963,274.62
1,29-03-2025,32726,1550,226.41
1,30-03-2025,15152,745,303.55
1,31-03-2025,39370,1367,198.1
2,15-06-2025,73481,3079,359.33
2,16-06-2025,9581,568,609.85
2,17-06-2025,25299,742,582.28
2,18-06-2025,63163,1785,536.98
2,19-06-2025,69736,4025,562.36
2,20-06-2025,10187,401,342.71
2,21-06-2025,36277,435,356.27
2,22-06-2025,60163,2125,521.2
2,23-06-2025,73673,3562,461.68
2,24-06-2025,60727,857,494.49
2,25-06-2025,88746,1564,362.98
2,26-06-2025,18357,652,397.7
2,27-06-2025,28365,1044,452.15
2,28-06-2025,91138,4389,527.37
2,29-06-2025,92299,1228,541.55
2,30-06-2025,39278,506,363.74
2,1/7/2025,64948,1026,516.47
2,2/7/2025,15212,387,554.04
2,3/7/2025,31022,495,544.23
2,4/7/2025,99946,1056,482.83
2,5/7/2025,53443,1931,566.03
2,6/7/2025,41980,770,375.56
2,7/7/2025,43227,2016,372.98
2,8/7/2025,11847,316,463.35
2,9/7/2025,76662,1011,545.51
2,10/7/2025,83582,3458,482.75
2,11/7/2025,74949,2099,483.76
2,12/7/2025,82302,1509,384.38
2,13-07-2025,21487,1175,534.42
2,14-07-2025,23117,495,486.43
2,15-07-2025,13772,729,342.28
3,20-08-2025,14026,471,380.37
3,21-08-2025,27671,524,522.08
3,22-08-2025,12635,475,510.7
3,23-08-2025,93944,2909,365.35
3,24-08-2025,62559,3490,364.89
3,25-08-2025,18208,702,315.67
3,26-08-2025,96254,5303,330.38
3,27-08-2025,75603,4465,520.55
3,28-08-2025,17034,917,498.94
3,29-08-2025,48723,1284,422.12
3,30-08-2025,9044,257,357.94
3,31-08-2025,47834,2247,345.91
3,1/9/2025,56270,2227,407.46
3,2/9/2025,33614,1567,420.52
3,3/9/2025,40129,703,515.22
3,4/9/2025,11133,241,371.39
3,5/9/2025,98893,5326,519.79
3,6/9/2025,8191,392,378.72
3,7/9/2025,48306,734,416.41
3,8/9/2025,39217,1215,522.29
3,9/9/2025,26661,1215,309.2
3,10/9/2025,38339,2103,413.94
4,25-11-2025,99861,5470,4875.37
4,26-11-2025,19128,746,5016.28
4,27-11-2025,91521,4667,3724.49
4,28-11-2025,82425,1080,5487.33
4,29-11-2025,25132,548,4282.97
4,30-11-2025,49288,2775,4678.86
5,2/1/2026,50762,1314,318.01
5,3/1/2026,17789,1017,287.98
5,4/1/2026,84638,1307,281.25
5,5/1/2026,66925,2228,347.76
5,6/1/2026,78244,2184,428.18
5,7/1/2026,67233,1708,316.48
5,8/1/2026,23717,344,436.42
5,9/1/2026,47874,2456,411.94
5,10/1/2026,13286,275,447.24
5,11/1/2026,27441,399,312.76
5,12/1/2026,54627,1628,268.72
5,13-01-2026,47169,1085,476.89
5,14-01-2026,12073,695,446.81
5,15-01-2026,80869,3833,313.13
5,16-01-2026,68560,1034,433.37
5,17-01-2026,23919,253,441.45
5,18-01-2026,37135,614,439.97
5,19-01-2026,56790,2516,465.15
5,20-01-2026,19015,743,315.11
6,1/3/2026,17828,197,285.94
6,2/3/2026,92670,2981,300.88
6,3/3/2026,51456,829,489.82
6,4/3/2026,14637,269,404.26
6,5/3/2026,59773,2080,359.86
6,6/3/2026,63923,1191,320.84
6,7/3/2026,32530,772,374.56
6,8/3/2026,27481,322,414.78
6,9/3/2026,40215,1703,386.84
6,10/3/2026,80179,2722,291.34
6,11/3/2026,58202,981,317.29
6,12/3/2026,76919,1727,501.85
6,13-03-2026,79258,3942,500.76
6,14-03-2026,55069,1871,452.46
6,15-03-2026,53093,2953,387.65
6,16-03-2026,58905,1385,277.02
6,17-03-2026,86265,1807,479.02
6,18-03-2026,44822,579,501.26
6,19-03-2026,77393,2157,406.6
6,20-03-2026,38508,2260,294.22
6,21-03-2026,94096,2075,394.92
6,22-03-2026,15328,738,491.1
6,23-03-2026,83457,4366,456.17
6,24-03-2026,54504,3093,501.26
6,25-03-2026,30768,578,408.59
6,26-03-2026,99439,2778,408.36
6,27-03-2026,99823,2753,402.81
6,28-03-2026,26625,1015,314.69
6,29-03-2026,72517,2690,311.74
6,30-03-2026,12975,188,325
6,31-03-2026,36679,403,381.98
