product_key,month,untis
1,1/1/2025,134
1,1/2/2025,343
1,1/3/2025,441
1,1/4/2025,250
1,1/5/2025,270
1,1/6/2025,494
1,1/7/2025,327
1,1/8/2025,160
1,1/9/2025,305
1,1/10/2025,198
1,1/11/2025,312
1,1/12/2025,200
4,1/1/2025,300
4,1/2/2025,58
4,1/3/2025,178
4,1/4/2025,180
4,1/5/2025,432
4,1/6/2025,234
4,1/7/2025,316
4,1/8/2025,88
4,1/9/2025,416
4,1/10/2025,344
4,1/11/2025,361
4,1/12/2025,409
5,1/1/2025,152
5,1/2/2025,470
5,1/3/2025,314
5,1/4/2025,302
5,1/5/2025,43
5,1/6/2025,344
5,1/7/2025,68
5,1/8/2025,160
5,1/9/2025,60
5,1/10/2025,122
5,1/11/2025,156
5,1/12/2025,59
6,1/1/2025,93
6,1/2/2025,191
6,1/3/2025,355
6,1/4/2025,72
6,1/5/2025,261
6,1/6/2025,198
6,1/7/2025,214
6,1/8/2025,305
6,1/9/2025,70
6,1/10/2025,294
6,1/11/2025,196
6,1/12/2025,216
7,1/1/2025,95
7,1/2/2025,249
7,1/3/2025,325
7,1/4/2025,275
7,1/5/2025,355
7,1/6/2025,470
7,1/7/2025,330
7,1/8/2025,476
7,1/9/2025,88
7,1/10/2025,284
7,1/11/2025,85
7,1/12/2025,250
8,1/1/2025,147
8,1/2/2025,71
8,1/3/2025,95
8,1/4/2025,161
8,1/5/2025,431
8,1/6/2025,230
8,1/7/2025,317
8,1/8/2025,27
8,1/9/2025,443
8,1/10/2025,183
8,1/11/2025,487
8,1/12/2025,4
9,1/1/2025,248
9,1/2/2025,69
9,1/3/2025,99
9,1/4/2025,417
9,1/5/2025,196
9,1/6/2025,493
9,1/7/2025,287
9,1/8/2025,258
9,1/9/2025,334
9,1/10/2025,253
9,1/11/2025,209
9,1/12/2025,350
10,1/1/2025,251
10,1/2/2025,212
10,1/3/2025,363
10,1/4/2025,430
10,1/5/2025,227
10,1/6/2025,250
10,1/7/2025,85
10,1/8/2025,42
10,1/9/2025,289
10,1/10/2025,15
10,1/11/2025,407
10,1/12/2025,389
11,1/1/2025,112
11,1/2/2025,149
11,1/3/2025,16
11,1/4/2025,140
11,1/5/2025,115
11,1/6/2025,275
11,1/7/2025,147
11,1/8/2025,86
11,1/9/2025,399
11,1/10/2025,234
11,1/11/2025,289
11,1/12/2025,380
12,1/1/2025,395
12,1/2/2025,392
12,1/3/2025,253
12,1/4/2025,281
12,1/5/2025,261
12,1/6/2025,57
12,1/7/2025,293
12,1/8/2025,58
12,1/9/2025,137
12,1/10/2025,396
12,1/11/2025,278
12,1/12/2025,421
13,1/1/2025,187
13,1/2/2025,277
13,1/3/2025,421
13,1/4/2025,387
13,1/5/2025,21
13,1/6/2025,389
13,1/7/2025,368
13,1/8/2025,225
13,1/9/2025,279
13,1/10/2025,111
13,1/11/2025,217
13,1/12/2025,52
14,1/1/2025,376
14,1/2/2025,424
14,1/3/2025,334
14,1/4/2025,384
14,1/5/2025,126
14,1/6/2025,152
14,1/7/2025,447
14,1/8/2025,16
14,1/9/2025,230
14,1/10/2025,134
14,1/11/2025,178
14,1/12/2025,441
15,1/1/2025,418
15,1/2/2025,44
15,1/3/2025,224
15,1/4/2025,443
15,1/5/2025,60
15,1/6/2025,397
15,1/7/2025,415
15,1/8/2025,121
15,1/9/2025,107
15,1/10/2025,415
15,1/11/2025,377
15,1/12/2025,301
16,1/1/2025,352
16,1/2/2025,179
16,1/3/2025,440
16,1/4/2025,363
16,1/5/2025,312
16,1/6/2025,323
16,1/7/2025,219
16,1/8/2025,84
16,1/9/2025,315
16,1/10/2025,71
16,1/11/2025,401
16,1/12/2025,105
17,1/1/2025,416
17,1/2/2025,105
17,1/3/2025,412
17,1/4/2025,30
17,1/5/2025,291
17,1/6/2025,179
17,1/7/2025,272
17,1/8/2025,143
17,1/9/2025,305
17,1/10/2025,275
17,1/11/2025,86
17,1/12/2025,165
18,1/1/2025,360
18,1/2/2025,149
18,1/3/2025,148
18,1/4/2025,293
18,1/5/2025,136
18,1/6/2025,487
18,1/7/2025,439
18,1/8/2025,263
18,1/9/2025,460
18,1/10/2025,347
18,1/11/2025,417
18,1/12/2025,48
19,1/1/2025,69
19,1/2/2025,492
19,1/3/2025,384
19,1/4/2025,402
19,1/5/2025,210
19,1/6/2025,470
19,1/7/2025,30
19,1/8/2025,141
19,1/9/2025,443
19,1/10/2025,335
19,1/11/2025,64
19,1/12/2025,359
3,1/1/2025,443
3,1/2/2025,67
3,1/3/2025,127
3,1/4/2025,74
3,1/5/2025,364
3,1/6/2025,164
3,1/7/2025,424
3,1/8/2025,126
3,1/9/2025,389
3,1/10/2025,431
3,1/11/2025,346
3,1/12/2025,201
2,1/1/2025,250
2,1/2/2025,72
2,1/3/2025,295
2,1/4/2025,323
2,1/5/2025,137
2,1/6/2025,321
2,1/7/2025,212
2,1/8/2025,192
2,1/9/2025,231
2,1/10/2025,38
2,1/11/2025,324
2,1/12/2025,406
20,1/1/2025,450
20,1/2/2025,393
20,1/3/2025,47
20,1/4/2025,206
20,1/5/2025,263
20,1/6/2025,383
20,1/7/2025,142
20,1/8/2025,355
20,1/9/2025,479
20,1/10/2025,449
20,1/11/2025,188
20,1/12/2025,232
21,1/1/2025,486
21,1/2/2025,249
21,1/3/2025,167
21,1/4/2025,297
21,1/5/2025,1
21,1/6/2025,444
21,1/7/2025,396
21,1/8/2025,433
21,1/9/2025,375
21,1/10/2025,47
21,1/11/2025,374
21,1/12/2025,497
22,1/1/2025,234
22,1/2/2025,325
22,1/3/2025,340
22,1/4/2025,357
22,1/5/2025,183
22,1/6/2025,435
22,1/7/2025,32
22,1/8/2025,407
22,1/9/2025,273
22,1/10/2025,203
22,1/11/2025,111
22,1/12/2025,495
23,1/1/2025,219
23,1/2/2025,422
23,1/3/2025,108
23,1/4/2025,253
23,1/5/2025,137
23,1/6/2025,165
23,1/7/2025,424
23,1/8/2025,145
23,1/9/2025,172
23,1/10/2025,280
23,1/11/2025,295
23,1/12/2025,66
24,1/1/2025,289
24,1/2/2025,436
24,1/3/2025,248
24,1/4/2025,403
24,1/5/2025,175
24,1/6/2025,457
24,1/7/2025,349
24,1/8/2025,390
24,1/9/2025,24
24,1/10/2025,23
24,1/11/2025,50
24,1/12/2025,320
