line_id,order_id,product_key,customer_id,bill_to_city_key,ship_to_city_key,flag_key,order_date,quantity,price,cost,discount,line_total
L00001,ORD00001,6,1052,4,8,6,12/9/2026,9,686.54,377.6,0,6178.86
L00061,ORD00061,2,1016,4,8,12,13-10-2025,3,694.96,382.23,0,2084.88
L00060,ORD00060,38,1035,1,1,3,29-12-2025,7,858.85,609.78,0.15,6011.95
L00007,ORD00007,51,1058,2,10,2,23-03-2025,9,641.44,378.45,0,5772.96
L00027,ORD00027,6,1046,2,10,10,2/4/2026,5,686.54,405.06,0.05,3432.7
L00005,ORD00005,6,1021,16,16,1,12/4/2025,6,686.54,487.44,0,4119.24
L00025,ORD00025,8,1037,16,16,6,21-05-2025,9,105.46,74.88,0,949.14
L00003,ORD00003,41,1054,10,2,2,24-03-2026,7,226.92,142.96,0.05,1588.44
L00075,ORD00075,42,1021,6,6,10,12/9/2025,1,84.7,60.14,0.05,84.7
L00002,ORD00002,38,1046,7,15,5,13-06-2026,3,858.85,506.72,0,2576.55
L00006,ORD00006,42,1059,19,3,5,29-04-2026,7,84.7,46.59,0.15,592.9
L00066,ORD00066,42,1038,19,3,8,3/9/2025,6,84.7,46.59,0.15,508.2
L00026,ORD00026,47,1048,19,3,8,10/7/2025,4,645.96,355.28,0,2583.84
L00070,ORD00070,47,1060,11,11,5,7/2/2025,6,645.96,458.63,0.1,3875.76
L00037,ORD00037,48,1058,12,20,13,12/9/2026,2,345.48,203.83,0,690.96
L00057,ORD00057,48,1008,12,20,6,15-07-2025,3,345.48,203.83,0.05,1036.44
L00072,ORD00072,47,1018,17,5,3,17-07-2025,9,645.96,381.12,0.15,5813.64
L00032,ORD00032,47,1046,17,5,9,6/5/2026,9,645.96,381.12,0,5813.64
L00051,ORD00051,52,1003,14,18,10,21-05-2025,8,42.8,23.54,0.05,342.4
L00019,ORD00019,34,1052,18,14,7,26-03-2025,3,654.05,438.21,0,1962.15
L00038,ORD00038,48,1050,15,7,5,14-08-2026,8,345.48,217.65,0,2763.84
L00015,ORD00015,52,1005,6,6,7,14-04-2026,8,42.8,30.39,0.05,342.4
L00008,ORD00008,21,1016,5,17,3,5/11/2025,7,823.13,518.57,0,5761.91
L00081,ORD00008,54,1016,5,17,3,5/11/2025,4,655.17,360.34,0.05,2620.68
L00043,ORD00043,36,1016,10,2,11,25-05-2025,6,568.39,358.09,0,3410.34
L00004,ORD00004,36,1004,13,9,9,10/2/2026,8,568.39,380.82,0.1,4547.12
L00017,ORD00017,36,1056,12,20,6,6/12/2025,7,568.39,335.35,0,3978.73
L00059,ORD00059,36,1036,18,14,7,29-11-2025,10,568.39,380.82,0,5683.9
L00011,ORD00011,14,1034,14,18,10,12/7/2026,9,886.92,487.81,0,7982.28
L00044,ORD00044,50,1016,13,9,9,13-06-2025,5,505.22,338.5,0,2526.1
L00031,ORD00031,15,1037,14,18,7,13-01-2026,10,351.41,193.28,0,3514.1
L00062,ORD00062,15,1050,7,15,5,23-10-2025,6,351.41,207.33,0,2108.46
L00036,ORD00036,16,1035,9,13,9,6/4/2025,4,158.95,87.42,0.15,635.8
